xD,Sw,PVI,case
0.7479131886477463,0.2,0.2,waterflood
0.7495826377295493,0.2,0.2,waterflood
0.7512520868113522,0.2,0.2,waterflood
0.7529215358931552,0.2,0.2,waterflood
0.7545909849749582,0.2,0.2,waterflood
0.7562604340567612,0.2,0.2,waterflood
0.7579298831385642,0.2,0.2,waterflood
0.7595993322203674,0.2,0.2,waterflood
0.7612687813021703,0.2,0.2,waterflood
0.7629382303839733,0.2,0.2,waterflood
0.7646076794657763,0.2,0.2,waterflood
0.7662771285475793,0.2,0.2,waterflood
0.7679465776293823,0.2,0.2,waterflood
0.7696160267111853,0.2,0.2,waterflood
0.7712854757929883,0.2,0.2,waterflood
0.7729549248747913,0.2,0.2,waterflood
0.7746243739565943,0.2,0.2,waterflood
0.7762938230383973,0.2,0.2,waterflood
0.7779632721202003,0.2,0.2,waterflood
0.7796327212020033,0.2,0.2,waterflood
0.7813021702838063,0.2,0.2,waterflood
0.7829716193656093,0.2,0.2,waterflood
0.7846410684474123,0.2,0.2,waterflood
0.7863105175292154,0.2,0.2,waterflood
0.7879799666110184,0.2,0.2,waterflood
0.7896494156928214,0.2,0.2,waterflood
0.7913188647746244,0.2,0.2,waterflood
0.7929883138564274,0.2,0.2,waterflood
0.7946577629382304,0.2,0.2,waterflood
0.7963272120200334,0.2,0.2,waterflood
0.7979966611018364,0.2,0.2,waterflood
0.7996661101836394,0.2,0.2,waterflood
0.8013355592654424,0.2,0.2,waterflood
0.8030050083472454,0.2,0.2,waterflood
0.8046744574290484,0.2,0.2,waterflood
0.8063439065108514,0.2,0.2,waterflood
0.8080133555926544,0.2,0.2,waterflood
0.8096828046744574,0.2,0.2,waterflood
0.8113522537562604,0.2,0.2,waterflood
0.8130217028380634,0.2,0.2,waterflood
0.8146911519198665,0.2,0.2,waterflood
0.8163606010016695,0.2,0.2,waterflood
0.8180300500834725,0.2,0.2,waterflood
0.8196994991652755,0.2,0.2,waterflood
0.8213689482470785,0.2,0.2,waterflood
0.8230383973288815,0.2,0.2,waterflood
0.8247078464106845,0.2,0.2,waterflood
0.8263772954924875,0.2,0.2,waterflood
0.8280467445742905,0.2,0.2,waterflood
0.8297161936560935,0.2,0.2,waterflood
0.8313856427378965,0.2,0.2,waterflood
0.8330550918196995,0.2,0.2,waterflood
0.8347245409015025,0.2,0.2,waterflood
0.8363939899833055,0.2,0.2,waterflood
0.8380634390651085,0.2,0.2,waterflood
0.8397328881469115,0.2,0.2,waterflood
0.8414023372287146,0.2,0.2,waterflood
0.8430717863105176,0.2,0.2,waterflood
0.8447412353923206,0.2,0.2,waterflood
0.8464106844741236,0.2,0.2,waterflood
0.8480801335559266,0.2,0.2,waterflood
0.8497495826377296,0.2,0.2,waterflood
0.8514190317195326,0.2,0.2,waterflood
0.8530884808013356,0.2,0.2,waterflood
0.8547579298831386,0.2,0.2,waterflood
0.8564273789649416,0.2,0.2,waterflood
0.8580968280467446,0.2,0.2,waterflood
0.8597662771285476,0.2,0.2,waterflood
