Sw,fw,dfw_dSw,case
0.7363999999999999,0.9430630732208399,0.60760473902792,waterflood
0.7368000000000001,0.9433057214914061,0.605639058864881,waterflood
0.7372000000000001,0.9435475844679317,0.6036782644832783,waterflood
0.7376,0.9437886641029928,0.6017223471967554,waterflood
0.738,0.9440289623456891,0.5997712983078145,waterflood
0.7384,0.944268481141639,0.5978251091089533,waterflood
0.7388000000000001,0.9445072224329765,0.5958837708840292,waterflood
0.7392000000000001,0.9447451881583463,0.593947274905986,waterflood
0.7396,0.9449823802529013,0.5920156124400364,waterflood
0.74,0.9452188006482982,0.5900887747411616,waterflood
0.7404,0.9454544512726941,0.5881667530559298,waterflood
0.7408000000000001,0.945689334050743,0.5862495386229511,waterflood
0.7412000000000001,0.9459234509035925,0.584337122672423,waterflood
0.7416,0.9461568037488808,0.5824294964256751,waterflood
0.742,0.9463893945007329,0.5805266510969886,waterflood
0.7424,0.9466212250697583,0.5786285778931415,waterflood
0.7428000000000001,0.9468522973630475,0.5767352680134081,waterflood
0.7432000000000001,0.947082613284169,0.5748467126488777,waterflood
0.7436,0.9473121747331666,0.5729629029854095,waterflood
0.744,0.9475409836065574,0.5710838302015873,waterflood
0.7444,0.9477690417973279,0.5692094854689458,waterflood
0.7448000000000001,0.9479963511949326,0.5673398599533357,waterflood
0.7452000000000001,0.9482229136852904,0.5654749448137864,waterflood
0.7456,0.9484487311507835,0.5636147312045523,waterflood
0.746,0.948673805470254,0.561759210273749,waterflood
0.7464,0.9488981385190025,0.5599083731640349,waterflood
0.7468000000000001,0.9491217321687855,0.5580622110132936,waterflood
0.7472000000000001,0.9493445882878131,0.5562207149530423,waterflood
0.7476,0.9495667087407479,0.5543838761120696,waterflood
0.748,0.9497880953887027,0.5525516856130253,waterflood
0.7484,0.9500087500892382,0.550724134574466,waterflood
0.7488000000000001,0.9502286746963624,0.5489012141119929,waterflood
0.7492000000000001,0.9504478710605277,0.5470829153346131,waterflood
0.7496,0.9506663410286301,0.5452692293501968,waterflood
0.75,0.9508840864440079,0.5434601472618397,waterflood
0.7504,0.9511011091464394,0.5416556601687716,waterflood
0.7508000000000001,0.951317410972143,0.5398557591684039,waterflood
0.7512000000000001,0.951532993753774,0.5380604353531453,waterflood
0.7516,0.9517478593204254,0.5362696798144952,waterflood
0.752,0.9519620094976255,0.5344834836407699,waterflood
0.7524,0.952175446107338,0.5327018379168749,waterflood
0.7528000000000001,0.9523881709679592,0.5309247337263514,waterflood
0.7532000000000001,0.9526001858943192,0.5291521621511492,waterflood
0.7536,0.95281149269768,0.5273841142695801,waterflood
0.754,0.9530220931857349,0.5256205811599557,waterflood
0.7544,0.953231989162608,0.5238615538980866,waterflood
0.7548000000000001,0.9534411824288536,0.5221070235591014,waterflood
0.7552000000000001,0.9536496747814551,0.5203569812154001,waterflood
0.7556,0.953857468013826,0.5186114179407468,waterflood
0.756,0.9540645639158077,0.5168703248061775,waterflood
0.7564,0.9542709642736708,0.5151336928820456,waterflood
0.7568000000000001,0.9544766708701136,0.5134015132400691,waterflood
0.7572000000000001,0.9546816854842628,0.5116737769496922,waterflood
0.7576,0.9548860098916732,0.5099504750805863,waterflood
0.758,0.9550896458643272,0.5082315987031052,waterflood
0.7584,0.9552925951706356,0.5065171388871477,waterflood
0.7588000000000001,0.955494859575437,0.5048070867030674,waterflood
0.7592000000000001,0.955696440839998,0.5031014332216728,waterflood
0.7596,0.9558973407220143,0.5014001695146817,waterflood
0.76,0.9560975609756097,0.49970328665449415,waterflood
0.7604,0.9562971033513378,0.4980107757139649,waterflood
0.7608000000000001,0.9564959695961811,0.49632262776822245,waterflood
0.7612000000000001,0.9566941614535522,0.4946388338919405,waterflood
0.7616,0.9568916806632947,0.49295938516274873,waterflood
0.762,0.9570885289616824,0.49128427265918617,waterflood
0.7624,0.957284708081422,0.4896134874618383,waterflood
0.7628000000000001,0.957480219751652,0.48794702065265483,waterflood
0.7632000000000001,0.9576750656979441,0.4862848633156318,waterflood
0.7636000000000001,0.9578692476423045,0.48462700653794855,waterflood
0.764,0.9580627673031745,0.4829734414081486,waterflood
0.7644,0.9582556263954309,0.48132415901636705,waterflood
0.7648000000000001,0.9584478266303877,0.47967915045774134,waterflood
0.7652000000000001,0.9586393697157971,0.47803840682831833,waterflood
0.7656000000000001,0.9588302573558503,0.47640191922710073,waterflood
0.766,0.9590204912511787,0.47476967875672926,waterflood
0.7664,0.9592100730988558,0.47314167652302785,waterflood
0.7668000000000001,0.9593990045923971,0.47151790363454893,waterflood
0.7672000000000001,0.9595872874217635,0.46989835120393764,waterflood
0.7676000000000001,0.9597749232733602,0.46828301034634023,waterflood
0.768,0.9599619138300405,0.4666718721819052,waterflood
0.7684,0.9601482607711058,0.46506492783396425,waterflood
0.7687999999999999,0.9603339657723077,0.46346216842948706,waterflood
